,name,cook_time_minutes,country,user_ratings,description,fiber,protein,fat,calories,sugar,carbohydrates
0,Tomato And Anchovy Pasta,0.0,US,0.882096,"Savor the bold flavors of this Tomato and Anchovy Pasta, a perfect weeknight meal that's both simple and satisfying. With a zesty tomato sauce and umami-packed anchovies, this dish will have your taste buds dancing in no time!",19,24,22,755,9,109
1,Blueberry Cream Muffins,,US,0.96,,0,4,13,264,13,32
2,One-Pot Lemon Garlic Shrimp Pasta,15.0,US,0.980133,"This easy 30-minute pasta recipe transforms ingredients that you already have in your kitchen into a posh, seafood dish you’ll want to serve at your next dinner party. And since the whole dish is made in a single pot, clean-up is easy. Don’t be surprised if this becomes your favorite quick go-to. ",4,38,37,678,2,49
3,One-Pot Garlic Parmesan Pasta,24.0,US,0.95333,"One pot. Garlic. Parmesan. Pasta. Need we say more? This dish is the ultimate in easy weeknight meals, with all the flavor and none of the fuss.",1,13,10,334,6,49
4,Chocolate Mug Cake,2.0,ZZ,0.896829,"Indulge in a rich and decadent chocolate hazelnut dessert that's ready in minutes with this mug cake recipe. Made with simple pantry staples and a generous dollop of chocolate hazelnut spread, this cake is moist, fudgy, and oozing with luscious chocolate flavor. ",4,8,20,500,36,72
5,3-Ingredient Teriyaki Chicken,12.0,US,0.903245,"This 3-Ingredient Teriyaki Chicken is a total game-changer - with its perfect balance of salty and sweet, this dish is sure to kick up your weeknights with minimal effort required.",0,48,9,366,17,20
6,3 Ingredient Peanut Butter Cookies,,ZZ,0.913886,"Whip up these scrumptious 3-Ingredient Peanut Butter Cookies in a snap! With just peanut butter, sugar, and an egg, you'll have a delightful treat that's perfect for satisfying your sweet tooth.",0,2,5,81,3,5
7,Garlic Shrimp Bacon Alfredo,10.0,US,0.976585,"This garlic bacon shrimp alfredo is the ultimate weeknight indulgence, with succulent shrimp, smoky bacon, and a rich, creamy sauce that will have your taste buds dancing with delight.",4,58,63,1147,8,101
8,Creamy Cajun Pasta,0.0,US,0.978022,"Say hello to a taste of the bayou with this creamy Cajun pasta! Savory sausage and a bevy of vegetables get a spicy kick with a Cajun-inspired seasoning blend, all tossed in a luscious creamy sauce. Best of all, it all comes together in just one pot for easy prepa and clean-up!",4,18,52,887,12,83
9,Creamy Chicken Penne Pasta,15.0,US,0.978039,"If you're in need of a hug in a bowl, this creamy chicken penne pasta is just the ticket. With tender chicken, perfectly cooked pasta, and a velvety sauce, it's pure comfort in a bowl.",2,47,46,703,5,37
10,Easy One-Pot Mac ‘n’ Cheese,15.0,US,0.875943,"This easy mac and cheese is a quick and delicious dinner option for busy weeknights! Elbow macaroni is cooked right in the same pot with milk, butter, and Cheddar cheese, resulting in a creamy and comforting dish that's sure to please everyone. Add in some chopped bacon or cooked veggies for a twist on the classic recipe, or enjoy it as-is for a simple and satisfying meal.",0,33,47,865,12,71
11,Jacket Potato: The Pizazz,30.0,US,0.302817,This potato encompasses the perfect balance of salty and sweet with bacon bits and a drizzle of maple syrup. It'll hit every craving! ,13,0,0,105,11,24
12,One-Pot Cheeseburger Pasta,,US,0.945137,"This One-Pot Cheeseburger Pasta is a delightful twist on a classic favorite. With its savory flavors and easy clean-up, this dish is perfect for busy weeknights and satisfying comfort food cravings.",0,33,29,699,12,66
13,Garlic Shrimp Scampi,10.0,US,0.968929,"This garlic shrimp scampi is a flavor explosion in your mouth! The succulent shrimp is cooked to perfection and coated in a heavenly garlic and butter sauce. Toss in some lemon juice and parsley, and you've got yourself a dish that'll transport you straight to the Italian coast.",3,61,23,810,3,86
14,One-Pot Broccoli Cheddar Soup,,US,0.966883,"This easy and comforting soup is made in one pot with fresh broccoli, sharp cheddar cheese, and a handful of simple ingredients for a delicious and hearty meal.",30,35,71,889,9,29
15,Healthy Banana Pancakes,,ZZ,0.864627,"These pancakes are fluffy, moist, and delicious, and best of all, they're healthy! Made with ripe bananas, whole wheat flour, and no added sugar, they're a guilt-free breakfast option.",4,7,4,186,10,30
